cusno,last_purchase,first_purchase,frequency,monetary,margin,recency_days,cusnm,area,kind,R_score,F_score,M_score,RFM_sum,segment
CUS_00148,2023-07-22,2023-03-23,2,26000.0,12000.0,994.0,[已隱蔽],,一般,3,4,5,12,Others
CUS_00149,2021-06-25,2021-03-22,2,6800.0,4506.0,1751.0,[已隱蔽],,一般,1,4,3,8,At Risk 流失中
CUS_00151,2023-01-13,2022-08-31,2,25300.0,10355.0,1184.0,[已隱蔽],,一般,2,4,5,11,At Risk 流失中
CUS_00152,2024-07-15,2024-07-15,1,1700.0,1230.0,635.0,[已隱蔽],,一般,3,2,1,6,Others
CUS_00153,2023-11-21,2023-11-20,2,10800.0,3950.0,872.0,[已隱蔽],,一般,3,4,4,11,Others
CUS_00154,2020-08-17,2020-08-17,1,2000.0,1620.0,2063.0,[已隱蔽],,一般,1,2,1,4,Lost 已流失
CUS_00155,2021-02-27,2021-02-27,1,3200.0,2147.6,1869.0,[已隱蔽],,一般,1,2,2,5,Lost 已流失
CUS_00157,2024-09-20,2024-09-20,1,2500.0,1000.0,568.0,[已隱蔽],,一般,4,2,1,7,New 新客
CUS_00158,2022-11-25,2021-01-13,4,28450.0,19003.0,1233.0,[已隱蔽],,一般,2,4,5,11,At Risk 流失中
CUS_00159,2022-07-29,2021-09-24,3,26050.0,13959.0,1352.0,[已隱蔽],,一般,2,4,5,11,At Risk 流失中
CUS_00161,2024-08-08,2023-12-29,5,22650.0,12208.0,611.0,[已隱蔽],,一般,4,5,5,14,Champions 黃金客
CUS_00165,2022-04-07,2022-04-07,1,14000.0,5800.0,1465.0,[已隱蔽],,一般,2,2,4,8,Lost 已流失
CUS_00166,2023-03-18,2023-03-18,1,8500.0,5200.0,1120.0,[已隱蔽],,一般,2,2,4,8,Lost 已流失
CUS_00168,2023-11-10,2023-11-10,1,1900.0,980.0,883.0,[已隱蔽],,一般,3,2,1,6,Others
CUS_00169,2022-08-16,2022-08-16,1,1200.0,600.0,1334.0,[已隱蔽],,一般,2,2,1,5,Lost 已流失
CUS_00170,2024-03-11,2024-03-11,1,2700.0,1520.0,761.0,[已隱蔽],,一般,3,2,2,7,Others
CUS_00171,2023-08-08,2019-12-16,7,61150.0,31460.0,977.0,[已隱蔽],,一般,3,5,5,13,Others
CUS_00172,,,0,0.0,,,[已隱蔽],,,,,,,
CUS_00173,2023-05-19,2021-12-30,2,9100.0,5350.0,1058.0,[已隱蔽],,一般,2,4,4,10,At Risk 流失中
CUS_00174,,,0,0.0,,,[已隱蔽],,,,,,,
CUS_00175,2020-12-29,2020-12-29,1,5400.0,3595.0,1929.0,[已隱蔽],,一般,1,2,3,6,Lost 已流失
CUS_00176,2023-02-04,2023-02-04,1,5000.0,2000.0,1162.0,[已隱蔽],,一般,2,2,3,7,Lost 已流失
CUS_00177,2023-08-12,2023-07-13,2,28950.0,18927.0,973.0,[已隱蔽],,一般,3,4,5,12,Others
CUS_00178,2021-11-15,2021-11-15,1,1600.0,1090.0,1608.0,[已隱蔽],,一般,1,2,1,4,Lost 已流失
CUS_00179,2022-09-24,2022-03-31,2,14000.0,5990.0,1295.0,[已隱蔽],,一般,2,4,4,10,At Risk 流失中
CUS_00181,2024-12-25,2021-03-08,5,30850.0,13975.0,472.0,[已隱蔽],,一般,4,5,5,14,Champions 黃金客
CUS_00183,2024-11-11,2024-09-12,3,15700.0,9460.0,516.0,[已隱蔽],,一般,4,4,5,13,Champions 黃金客
CUS_00184,2024-11-13,2022-12-15,2,8800.0,4502.8,514.0,[已隱蔽],,一般,4,4,4,12,Champions 黃金客
CUS_00185,2025-02-08,2025-02-08,1,2500.0,750.0,427.0,[已隱蔽],,一般,4,2,1,7,New 新客
CUS_00186,2024-12-23,2024-12-23,1,1200.0,1000.0,474.0,[已隱蔽],,一般,4,2,1,7,New 新客
CUS_00187,2022-01-31,2022-01-31,1,3300.0,2010.0,1531.0,[已隱蔽],,一般,2,2,2,6,Lost 已流失
CUS_00188,,,0,0.0,,,[已隱蔽],,,,,,,
CUS_00189,2021-08-11,2020-10-15,3,35300.0,16664.5,1704.0,[已隱蔽],,一般,1,4,5,10,At Risk 流失中
CUS_00190,2023-12-23,2023-12-23,1,7000.0,5550.0,840.0,[已隱蔽],,一般,3,2,3,8,Others
CUS_00191,2022-02-09,2022-02-09,1,11800.0,3950.0,1522.0,[已隱蔽],,一般,2,2,4,8,Lost 已流失
CUS_00192,2021-05-03,2021-05-03,1,11600.0,4785.0,1804.0,[已隱蔽],,一般,1,2,4,7,Lost 已流失
CUS_00193,2022-11-26,2022-11-26,1,10140.0,5790.0,1232.0,[已隱蔽],,一般,2,2,4,8,Lost 已流失
CUS_00194,2021-01-09,2021-01-09,1,4000.0,1100.0,1918.0,[已隱蔽],,一般,1,2,2,5,Lost 已流失
CUS_00195,2023-05-09,2023-05-09,1,3200.0,1910.0,1068.0,[已隱蔽],,一般,2,2,2,6,Lost 已流失
CUS_00196,2022-12-31,2022-12-23,2,7100.0,3811.0,1197.0,[已隱蔽],,一般,2,4,3,9,At Risk 流失中
CUS_00197,2023-05-19,2020-12-24,11,47050.0,29431.6,1058.0,[已隱蔽],,一般,2,5,5,12,At Risk 流失中
CUS_00198,2022-02-10,2022-02-10,1,3000.0,1870.0,1521.0,[已隱蔽],,一般,2,2,2,6,Lost 已流失
CUS_00202,2020-11-30,2020-11-30,1,4850.0,3568.0,1958.0,[已隱蔽],,一般,1,2,3,6,Lost 已流失
CUS_00203,2023-04-12,2023-04-12,1,4500.0,2810.0,1095.0,[已隱蔽],,一般,2,2,3,7,Lost 已流失
CUS_00204,2024-08-13,2024-05-28,2,3800.0,3078.0,606.0,[已隱蔽],,一般,4,4,2,10,Loyal 忠實客
CUS_00205,2024-06-11,2023-05-12,3,6000.0,4250.0,669.0,[已隱蔽],,一般,3,4,3,10,Others
CUS_00206,2022-12-05,2022-12-05,1,11500.0,4000.0,1223.0,[已隱蔽],,一般,2,2,4,8,Lost 已流失
CUS_00208,2022-03-23,2022-03-23,1,5000.0,4350.0,1480.0,[已隱蔽],,一般,2,2,3,7,Lost 已流失
CUS_00210,2023-02-20,2023-02-20,1,1800.0,1280.0,1146.0,[已隱蔽],,一般,2,2,1,5,Lost 已流失
CUS_00212,2022-08-19,2021-05-21,2,3000.0,1770.0,1331.0,[已隱蔽],,一般,2,4,2,8,Others
CUS_00213,2024-07-10,2024-07-10,1,4200.0,2540.0,640.0,[已隱蔽],,一般,3,2,3,8,Others
CUS_00214,2023-07-04,2022-12-07,2,10299.0,5783.0,1012.0,[已隱蔽],,一般,3,4,4,11,Others
CUS_00215,2024-02-09,2024-02-09,1,16500.0,7000.0,792.0,[已隱蔽],,一般,3,2,5,10,Others
CUS_00216,2023-10-14,2023-10-14,1,14700.0,6000.0,910.0,[已隱蔽],,一般,3,2,5,10,Others
CUS_00218,2022-08-17,2022-08-17,1,1000.0,700.0,1333.0,[已隱蔽],,一般,2,2,1,5,Lost 已流失
CUS_00219,2024-03-09,2020-12-05,3,8000.0,6009.0,763.0,[已隱蔽],,一般,3,4,4,11,Others
CUS_00221,2024-11-15,2024-09-20,3,7500.0,5263.7,512.0,[已隱蔽],,一般,4,4,4,12,Champions 黃金客
CUS_00222,2024-11-11,2024-11-11,1,900.0,600.0,516.0,[已隱蔽],,一般,4,2,1,7,New 新客
CUS_00223,2022-12-14,2022-05-07,2,4600.0,3175.0,1214.0,[已隱蔽],,一般,2,4,3,9,At Risk 流失中
CUS_00224,2024-07-18,2024-07-18,1,6500.0,2730.0,632.0,[已隱蔽],,一般,3,2,3,8,Others
CUS_00226,2024-01-23,2024-01-23,1,3500.0,2100.0,809.0,[已隱蔽],,一般,3,2,2,7,Others
CUS_00227,2025-01-14,2025-01-14,1,3000.0,2250.0,452.0,[已隱蔽],,一般,4,2,2,8,New 新客
CUS_00228,2023-09-06,2023-09-06,1,2000.0,900.0,948.0,[已隱蔽],,一般,3,2,1,6,Others
CUS_00229,2024-11-16,2023-08-08,2,7000.0,5258.8,511.0,[已隱蔽],,一般,4,4,3,11,Loyal 忠實客
CUS_00230,2021-02-06,2021-02-06,1,4850.0,2570.0,1890.0,[已隱蔽],,一般,1,2,3,6,Lost 已流失
CUS_00231,2023-12-16,2021-07-22,10,33250.0,21869.0,847.0,[已隱蔽],,一般,3,5,5,13,Others
CUS_00232,2022-02-08,2022-02-08,1,3200.0,2410.0,1523.0,[已隱蔽],,一般,2,2,2,6,Lost 已流失
CUS_00233,2021-02-06,2021-02-06,1,2500.0,1700.0,1890.0,[已隱蔽],,一般,1,2,1,4,Lost 已流失
CUS_00234,2024-11-08,2024-11-08,1,3000.0,1100.0,519.0,[已隱蔽],,一般,4,2,2,8,New 新客
CUS_00235,2024-03-07,2024-03-07,1,6667.0,4367.0,765.0,[已隱蔽],,一般,3,2,3,8,Others
CUS_00237,2020-12-24,2020-12-24,1,3300.0,1500.0,1934.0,[已隱蔽],,一般,1,2,2,5,Lost 已流失
CUS_00238,2022-12-31,2022-12-31,1,4000.0,2190.0,1197.0,[已隱蔽],,一般,2,2,2,6,Lost 已流失
CUS_00239,2021-03-20,2021-01-23,2,13300.0,8052.0,1848.0,[已隱蔽],,一般,1,4,4,9,At Risk 流失中
CUS_00240,2024-08-27,2024-08-27,1,10000.0,6000.0,592.0,[已隱蔽],,一般,4,2,4,10,New 新客
CUS_00241,2024-04-29,2024-04-29,1,7500.0,5200.0,712.0,[已隱蔽],,一般,3,2,4,9,Others
CUS_00243,,,0,0.0,,,[已隱蔽],,,,,,,
CUS_00244,2022-12-26,2022-12-26,1,5000.0,3450.0,1202.0,[已隱蔽],,一般,2,2,3,7,Lost 已流失
CUS_00245,2025-01-16,2025-01-16,1,4990.0,490.0,450.0,[已隱蔽],,一般,4,2,3,9,New 新客
CUS_00247,2021-07-17,2021-07-17,1,3500.0,700.0,1729.0,[已隱蔽],,一般,1,2,2,5,Lost 已流失
CUS_00248,2022-01-12,2022-01-12,1,6800.0,4160.0,1550.0,[已隱蔽],,一般,1,2,3,6,Lost 已流失
CUS_00255,2021-06-21,2021-06-21,1,3500.0,1500.0,1755.0,[已隱蔽],,一般,1,2,2,5,Lost 已流失
CUS_00257,2023-08-07,2022-08-26,2,7500.0,3760.0,978.0,[已隱蔽],,一般,3,4,4,11,Others
CUS_00259,2021-12-16,2021-12-16,1,5250.0,3910.0,1577.0,[已隱蔽],,一般,1,2,3,6,Lost 已流失
CUS_00260,2021-05-10,2020-08-05,3,11900.0,6650.0,1797.0,[已隱蔽],,一般,1,4,4,9,At Risk 流失中
CUS_00261,2023-05-02,2023-05-02,1,3000.0,2000.0,1075.0,[已隱蔽],,一般,2,2,2,6,Lost 已流失
CUS_00263,2022-02-15,2022-02-15,1,4500.0,3175.0,1516.0,[已隱蔽],,一般,2,2,3,7,Lost 已流失
CUS_00264,,,0,0.0,,,[已隱蔽],,,,,,,
CUS_00265,2025-01-23,2021-01-29,3,5850.0,3365.0,443.0,[已隱蔽],,一般,4,4,3,11,Loyal 忠實客
CUS_00266,2021-06-26,2021-06-26,1,11500.0,5750.0,1750.0,[已隱蔽],,一般,1,2,4,7,Lost 已流失
CUS_00267,2023-09-26,2023-09-26,1,6700.0,4880.0,928.0,[已隱蔽],,一般,3,2,3,8,Others
CUS_00269,2024-07-01,2024-07-01,1,7300.0,3700.0,649.0,[已隱蔽],,一般,3,2,3,8,Others
CUS_00271,2021-08-10,2021-08-10,1,4300.0,2835.0,1705.0,[已隱蔽],,一般,1,2,3,6,Lost 已流失
CUS_00272,2024-01-13,2022-12-24,3,26300.0,12820.0,819.0,[已隱蔽],,一般,3,4,5,12,Others
CUS_00273,2022-02-21,2022-02-21,1,8000.0,4835.0,1510.0,[已隱蔽],,一般,2,2,4,8,Lost 已流失
CUS_00276,2024-10-03,2024-10-03,1,3100.0,2130.0,555.0,[已隱蔽],,一般,4,2,2,8,New 新客
CUS_00277,2023-11-23,2023-11-23,1,11000.0,5550.0,870.0,[已隱蔽],,一般,3,2,4,9,Others
CUS_00278,,,0,0.0,,,[已隱蔽],,,,,,,
CUS_00279,2023-01-31,2023-01-31,1,5500.0,3500.0,1166.0,[已隱蔽],,一般,2,2,3,7,Lost 已流失
CUS_00280,2023-06-09,2023-06-09,1,5500.0,4550.0,1037.0,[已隱蔽],,一般,3,2,3,8,Others
CUS_00281,2024-12-16,2023-12-30,2,8400.0,5660.0,481.0,[已隱蔽],,一般,4,4,4,12,Champions 黃金客
CUS_00282,2025-02-10,2024-01-08,3,3800.0,2250.0,425.0,[已隱蔽],,一般,4,4,2,10,Loyal 忠實客
CUS_00283,2024-08-22,2021-02-04,3,30700.0,17260.0,597.0,[已隱蔽],,一般,4,4,5,13,Champions 黃金客
CUS_00284,2022-12-26,2022-12-26,1,2500.0,2050.0,1202.0,[已隱蔽],,一般,2,2,1,5,Lost 已流失
CUS_00285,2020-10-16,2020-10-16,1,1200.0,940.0,2003.0,[已隱蔽],,一般,1,2,1,4,Lost 已流失
CUS_00287,2023-07-25,2023-05-23,2,5900.0,3750.0,991.0,[已隱蔽],,一般,3,4,3,10,Others
CUS_00288,2022-07-12,2022-07-12,1,4350.0,2767.0,1369.0,[已隱蔽],,一般,2,2,3,7,Lost 已流失
CUS_00291,2024-10-07,2024-10-07,1,23000.0,11000.0,551.0,[已隱蔽],,一般,4,2,5,11,New 新客
CUS_00292,2022-05-19,2022-05-19,1,15700.0,9930.0,1423.0,[已隱蔽],,一般,2,2,5,9,Lost 已流失
CUS_00293,2024-01-06,2024-01-06,1,4200.0,2265.0,826.0,[已隱蔽],,一般,3,2,3,8,Others
CUS_00295,2023-07-24,2023-07-24,1,1000.0,850.0,992.0,[已隱蔽],,一般,3,2,1,6,Others
CUS_00296,,,0,0.0,,,[已隱蔽],,,,,,,
CUS_00299,2023-03-31,2023-03-06,2,6500.0,4232.0,1107.0,[已隱蔽],,一般,2,4,3,9,At Risk 流失中
CUS_00301,2024-01-16,2024-01-11,2,6200.0,3070.0,816.0,[已隱蔽],,一般,3,4,3,10,Others
CUS_00302,,,0,0.0,,,[已隱蔽],,,,,,,
CUS_00304,2022-09-16,2022-09-16,1,4600.0,2000.0,1303.0,[已隱蔽],,一般,2,2,3,7,Lost 已流失
CUS_00305,2023-02-23,2023-02-23,1,7700.0,1200.0,1143.0,[已隱蔽],,一般,2,2,4,8,Lost 已流失
CUS_00307,2023-08-10,2023-08-10,1,1200.0,1036.4,975.0,[已隱蔽],,一般,3,2,1,6,Others
