cusno,cusnm,revenue,margin,orders,margin_rate
CUS_00541,[已隱蔽],11000.0,6349.0,1,0.5771818181818181
CUS_00531,[已隱蔽],10150.0,6330.0,3,0.6236453201970443
CUS_00528,[已隱蔽],9150.0,6310.0,1,0.6896174863387978
CUS_00436,[已隱蔽],12500.0,6200.0,2,0.496
CUS_00375,[已隱蔽],12000.0,6200.0,1,0.5166666666666667
CUS_00666,[已隱蔽],16999.0,6129.0,1,0.36055062062474263
CUS_00679,[已隱蔽],15700.0,6110.0,1,0.389171974522293
CUS_00051,[已隱蔽],8600.0,6073.0,1,0.7061627906976744
CUS_00094,[已隱蔽],9770.0,6061.0,3,0.6203684749232344
CUS_00219,[已隱蔽],8000.0,6009.0,3,0.751125
CUS_00240,[已隱蔽],10000.0,6000.0,1,0.6
CUS_00357,[已隱蔽],10000.0,6000.0,1,0.6
CUS_00542,[已隱蔽],12000.0,6000.0,1,0.5
CUS_00216,[已隱蔽],14700.0,6000.0,1,0.40816326530612246
CUS_00179,[已隱蔽],14000.0,5990.0,2,0.4278571428571429
CUS_00641,[已隱蔽],8000.0,5909.0,1,0.738625
CUS_00165,[已隱蔽],14000.0,5800.0,1,0.4142857142857143
CUS_00393,[已隱蔽],9400.0,5796.4,2,0.6166382978723404
CUS_00193,[已隱蔽],10140.0,5790.0,1,0.5710059171597633
CUS_00214,[已隱蔽],10299.0,5783.0,2,0.5615108262938149
CUS_00588,[已隱蔽],16350.0,5762.0,13,0.3524159021406728
CUS_00266,[已隱蔽],11500.0,5750.0,1,0.5
CUS_00105,[已隱蔽],17600.0,5700.0,1,0.32386363636363635
CUS_00027,[已隱蔽],8000.0,5700.0,1,0.7125
CUS_00281,[已隱蔽],8400.0,5660.0,2,0.6738095238095239
CUS_00429,[已隱蔽],8000.0,5659.0,1,0.707375
CUS_00510,[已隱蔽],8600.0,5650.0,1,0.6569767441860465
CUS_00005,[已隱蔽],8500.0,5650.0,1,0.6647058823529411
CUS_00098,[已隱蔽],15500.0,5600.0,1,0.36129032258064514
CUS_00277,[已隱蔽],11000.0,5550.0,1,0.5045454545454545
CUS_00190,[已隱蔽],7000.0,5550.0,1,0.7928571428571428
CUS_00326,[已隱蔽],15155.0,5525.0,3,0.3645661497855493
CUS_00591,[已隱蔽],15000.0,5500.0,1,0.36666666666666664
CUS_00419,[已隱蔽],8300.0,5489.0,1,0.6613253012048192
CUS_00463,[已隱蔽],6800.0,5474.0,1,0.805
CUS_00366,[已隱蔽],8200.0,5442.0,1,0.6636585365853659
CUS_00163,[已隱蔽],8500.0,5421.0,2,0.6377647058823529
CUS_00643,[已隱蔽],7500.0,5409.0,1,0.7212
CUS_00722,[已隱蔽],10300.0,5400.0,3,0.5242718446601942
CUS_00089,[已隱蔽],11700.0,5370.0,2,0.45897435897435895
CUS_00692,[已隱蔽],10650.0,5360.0,1,0.5032863849765258
CUS_00173,[已隱蔽],9100.0,5350.0,2,0.5879120879120879
CUS_00323,[已隱蔽],8000.0,5300.0,1,0.6625
CUS_00634,[已隱蔽],7150.0,5280.0,2,0.7384615384615385
CUS_00221,[已隱蔽],7500.0,5263.7,3,0.7018266666666666
CUS_00229,[已隱蔽],7000.0,5258.8,2,0.7512571428571428
CUS_00030,[已隱蔽],10800.0,5201.8,2,0.48164814814814816
CUS_00103,[已隱蔽],7500.0,5200.0,1,0.6933333333333334
CUS_00041,[已隱蔽],10750.0,5200.0,1,0.48372093023255813
CUS_00241,[已隱蔽],7500.0,5200.0,1,0.6933333333333334
CUS_00166,[已隱蔽],8500.0,5200.0,1,0.611764705882353
CUS_00520,[已隱蔽],6450.0,5182.0,5,0.8034108527131782
CUS_00268,[已隱蔽],7650.0,5152.8,3,0.6735686274509805
CUS_00110,[已隱蔽],6820.0,5114.0,3,0.7498533724340176
CUS_00015,[已隱蔽],6850.0,5100.0,1,0.7445255474452555
CUS_00720,[已隱蔽],11200.0,5050.0,3,0.45089285714285715
CUS_00614,[已隱蔽],6900.0,4997.0,1,0.7242028985507246
CUS_00453,[已隱蔽],9150.0,4975.0,1,0.5437158469945356
CUS_00386,[已隱蔽],7500.0,4960.0,1,0.6613333333333333
CUS_00606,[已隱蔽],8800.0,4910.0,2,0.5579545454545455
CUS_00372,[已隱蔽],16500.0,4900.0,1,0.296969696969697
CUS_00689,[已隱蔽],8400.0,4890.0,2,0.5821428571428572
CUS_00267,[已隱蔽],6700.0,4880.0,1,0.7283582089552239
CUS_00297,[已隱蔽],8200.0,4875.0,2,0.5945121951219512
CUS_00114,[已隱蔽],5000.0,4870.0,1,0.974
CUS_00273,[已隱蔽],8000.0,4835.0,1,0.604375
CUS_00498,[已隱蔽],10190.0,4801.2,4,0.47116781157998033
CUS_00642,[已隱蔽],6300.0,4800.0,2,0.7619047619047619
CUS_00192,[已隱蔽],11600.0,4785.0,1,0.4125
CUS_00433,[已隱蔽],7050.0,4780.0,2,0.6780141843971631
CUS_00360,[已隱蔽],7750.0,4768.7,2,0.6153161290322581
CUS_00071,[已隱蔽],13340.0,4760.0,2,0.3568215892053973
CUS_00385,[已隱蔽],7800.0,4760.0,1,0.6102564102564103
CUS_00438,[已隱蔽],6000.0,4720.0,1,0.7866666666666666
CUS_00349,[已隱蔽],7000.0,4700.0,1,0.6714285714285714
CUS_00062,[已隱蔽],7000.0,4700.0,1,0.6714285714285714
CUS_00350,[已隱蔽],6150.0,4698.0,1,0.7639024390243903
CUS_00388,[已隱蔽],9249.0,4644.0,2,0.5021083360363282
CUS_00376,[已隱蔽],7750.0,4610.0,4,0.5948387096774194
CUS_00699,[已隱蔽],7800.0,4600.0,3,0.5897435897435898
CUS_00613,[已隱蔽],5900.0,4550.0,1,0.7711864406779662
CUS_00379,[已隱蔽],6050.0,4550.0,2,0.7520661157024794
CUS_00280,[已隱蔽],5500.0,4550.0,1,0.8272727272727273
CUS_00609,[已隱蔽],7000.0,4530.0,2,0.6471428571428571
CUS_00149,[已隱蔽],6800.0,4506.0,2,0.6626470588235294
CUS_00184,[已隱蔽],8800.0,4502.8,2,0.5116818181818182
CUS_00252,[已隱蔽],6000.0,4500.0,4,0.75
CUS_00522,[已隱蔽],7200.0,4495.0,1,0.6243055555555556
CUS_00362,[已隱蔽],7500.0,4490.0,1,0.5986666666666667
CUS_00342,[已隱蔽],7950.0,4415.0,3,0.5553459119496855
CUS_00497,                                                            ,7450.0,4410.0,1,0.5919463087248322
CUS_00258,[已隱蔽],6850.0,4400.0,4,0.6423357664233577
CUS_00500,[已隱蔽],8600.0,4370.0,1,0.5081395348837209
CUS_00235,[已隱蔽],6667.0,4367.0,1,0.6550172491375431
CUS_00220,[已隱蔽],6150.0,4360.0,1,0.7089430894308943
CUS_00208,[已隱蔽],5000.0,4350.0,1,0.87
CUS_00087,[已隱蔽],6400.0,4295.0,1,0.67109375
CUS_00205,[已隱蔽],6000.0,4250.0,3,0.7083333333333334
CUS_00299,[已隱蔽],6500.0,4232.0,2,0.6510769230769231
CUS_00681,[已隱蔽],8500.0,4225.0,2,0.4970588235294118
CUS_00008,[已隱蔽],7800.0,4220.0,2,0.541025641025641
CUS_00167,[已隱蔽],6000.0,4200.0,1,0.7
CUS_00248,[已隱蔽],6800.0,4160.0,1,0.611764705882353
CUS_00017,[已隱蔽],8500.0,4150.0,1,0.48823529411764705
CUS_00135,[已隱蔽],11320.0,4122.0,5,0.3641342756183746
CUS_00550,[已隱蔽],8150.0,4085.0,2,0.5012269938650307
CUS_00120,[已隱蔽],7150.0,4080.0,2,0.5706293706293706
CUS_00496,[已隱蔽],8500.0,4050.0,1,0.4764705882352941
CUS_00549,[已隱蔽],8530.0,4045.0,12,0.4742086752637749
CUS_00330,[已隱蔽],8000.0,4000.0,1,0.5
CUS_00206,[已隱蔽],11500.0,4000.0,1,0.34782608695652173
CUS_00318,[已隱蔽],6000.0,4000.0,1,0.6666666666666666
CUS_00462,[已隱蔽],7800.0,4000.0,1,0.5128205128205128
CUS_00294,[已隱蔽],10000.0,4000.0,1,0.4
CUS_00313,[已隱蔽],7000.0,4000.0,1,0.5714285714285714
CUS_00390,[已隱蔽],5800.0,3970.0,1,0.6844827586206896
CUS_00153,[已隱蔽],10800.0,3950.0,2,0.36574074074074076
CUS_00191,[已隱蔽],11800.0,3950.0,1,0.3347457627118644
CUS_00259,[已隱蔽],5250.0,3910.0,1,0.7447619047619047
CUS_00012,[已隱蔽],10400.0,3850.0,2,0.3701923076923077
CUS_00455,[已隱蔽],5760.0,3850.0,1,0.6684027777777778
CUS_00057,[已隱蔽],5350.0,3820.0,2,0.7140186915887851
CUS_00196,[已隱蔽],7100.0,3811.0,2,0.5367605633802817
CUS_00257,[已隱蔽],7500.0,3760.0,2,0.5013333333333333
CUS_00287,[已隱蔽],5900.0,3750.0,2,0.635593220338983
CUS_00290,[已隱蔽],4000.0,3750.0,1,0.9375
CUS_00460,[已隱蔽],6500.0,3740.0,2,0.5753846153846154
CUS_00117,[已隱蔽],6000.0,3740.0,1,0.6233333333333333
CUS_00126,[已隱蔽],6700.0,3712.0,3,0.5540298507462686
CUS_00251,[已隱蔽],10500.0,3700.0,1,0.3523809523809524
CUS_00398,[已隱蔽],9500.0,3700.0,1,0.3894736842105263
CUS_00269,[已隱蔽],7300.0,3700.0,1,0.5068493150684932
CUS_00417,[已隱蔽],5100.0,3700.0,1,0.7254901960784313
CUS_00038,[已隱蔽],12500.0,3700.0,1,0.296
CUS_00384,[已隱蔽],5399.0,3699.0,2,0.6851268753472866
CUS_00014,[已隱蔽],4950.0,3690.0,2,0.7454545454545455
CUS_00423,[已隱蔽],6000.0,3645.0,1,0.6075
CUS_00055,[已隱蔽],10500.0,3600.0,1,0.34285714285714286
CUS_00175,[已隱蔽],5400.0,3595.0,1,0.6657407407407407
CUS_00136,[已隱蔽],4800.0,3590.0,1,0.7479166666666667
CUS_00201,[已隱蔽],4900.0,3580.0,1,0.7306122448979592
CUS_00202,[已隱蔽],4850.0,3568.0,1,0.7356701030927835
CUS_00702,[已隱蔽],5850.0,3510.0,1,0.6
CUS_00279,[已隱蔽],5500.0,3500.0,1,0.6363636363636364
CUS_00540,[已隱蔽],6400.0,3465.0,1,0.54140625
CUS_00063,[已隱蔽],4500.0,3450.0,1,0.7666666666666667
