cusno,billed,last_sale,orders,received,last_recv,outstanding,days_since_last_sale,cusnm,area,settle
CUS_00151,25300.0,2023-01-13,2,0.0,,25300.0,1184,[已隱蔽],,31.0
CUS_00311,24500.0,2022-11-17,1,0.0,,24500.0,1241,[已隱蔽],,31.0
CUS_00116,24300.0,2024-05-22,1,0.0,,24300.0,689,[已隱蔽],,31.0
CUS_00072,23900.0,2023-11-30,3,0.0,,23900.0,863,[已隱蔽],,31.0
CUS_00028,23800.0,2022-03-22,3,0.0,,23800.0,1481,[已隱蔽],,31.0
CUS_00495,23700.0,2024-08-21,5,0.0,,23700.0,598,[已隱蔽],,31.0
CUS_00389,23570.0,2023-07-15,10,0.0,,23570.0,1001,[已隱蔽],,31.0
CUS_00683,23550.0,2022-11-22,3,0.0,,23550.0,1236,[已隱蔽],,31.0
CUS_00067,23000.0,2024-03-27,5,0.0,,23000.0,745,[已隱蔽],,31.0
CUS_00291,23000.0,2024-10-07,1,0.0,,23000.0,551,[已隱蔽],,31.0
CUS_00161,22650.0,2024-08-08,5,0.0,,22650.0,611,[已隱蔽],,31.0
CUS_00479,22300.0,2024-03-30,1,0.0,,22300.0,742,[已隱蔽],,31.0
CUS_00443,22200.0,2024-08-14,3,0.0,,22200.0,605,[已隱蔽],,31.0
CUS_00636,21900.0,2021-08-07,4,0.0,,21900.0,1708,[已隱蔽],,31.0
CUS_00675,21300.0,2022-12-09,2,0.0,,21300.0,1219,[已隱蔽],,31.0
CUS_00450,21150.0,2021-08-10,3,0.0,,21150.0,1705,[已隱蔽],,31.0
CUS_00502,21000.0,2022-06-22,2,0.0,,21000.0,1389,[已隱蔽],,31.0
CUS_00081,20000.0,2023-02-10,1,0.0,,20000.0,1156,[已隱蔽],,31.0
CUS_00381,19500.0,2024-06-07,2,0.0,,19500.0,673,[已隱蔽],,31.0
CUS_00671,19400.0,2021-08-26,1,0.0,,19400.0,1689,[已隱蔽],,31.0
