wno,wdate,odate,wfacno,sltax,invnoam,tax_a,slamt2_a,slamt3_a,facno,setday,mark,stockno,note1,toacc
[車牌]8814      ,2022-01-20 00:00:00,2022-01-20 00:00:00,MFFT1C    ,外加  ,1670.0,0.05,84.0,1754.0,FAC_00040,202201.0,            ,GF ,,
[車牌]8156      ,2022-02-17 00:00:00,2022-02-17 00:00:00,ZF        ,外加  ,12690.0,0.05,635.0,13325.0,FAC_00066,202202.0,            ,GF ,,
VK4[電話]      ,2022-01-25 00:00:00,2022-01-25 00:00:00,CMFUG     ,外加  ,6375.0,0.05,319.0,6694.0,FAC_00019,202201.0,            ,GF ,,
[車牌]0611      ,2022-03-24 00:00:00,2022-03-24 00:00:00,ZF        ,外加  ,0.0,0.05,0.0,0.0,FAC_00066,202203.0,            ,GF ,,
[車牌]5529      ,2022-03-30 00:00:00,2022-03-30 00:00:00,2UFT1C    ,外加  ,3810.0,0.05,191.0,4001.0,FAC_00010,202204.0,            ,GF ,,
[車牌]5530      ,2022-03-30 00:00:00,2022-03-30 00:00:00,2UFT1C    ,外加  ,6190.0,0.05,310.0,6500.0,FAC_00010,202204.0,            ,GF ,,
XM4[電話]      ,2022-03-31 00:00:00,2022-03-31 00:00:00,CMFUG     ,外加  ,5585.0,0.05,279.0,5864.0,FAC_00019,202204.0,            ,GF ,,
XM[電話]      ,2022-04-15 00:00:00,2022-04-15 00:00:00,JG        ,外加  ,3429.0,0.05,171.0,3600.0,FAC_00036,202204.0,            ,GF ,,
[車牌]0646      ,2022-04-19 00:00:00,2022-04-19 00:00:00,2UFT1C    ,外加  ,6110.0,0.05,306.0,6416.0,FAC_00010,202204.0,            ,GF ,,
[車牌]5660      ,2022-03-26 00:00:00,2022-03-26 00:00:00,2MFT1C    ,外加  ,11429.0,0.05,571.0,12000.0,FAC_00004,202204.0,            ,GF ,,
[車牌]0520      ,2022-04-19 00:00:00,2022-04-19 00:00:00,X2T       ,外加  ,4285.0,0.05,214.0,4499.0,FAC_00060,202204.0,            ,GF ,,
[車牌]6365      ,2022-04-27 00:00:00,2022-04-27 00:00:00,2UFT1C    ,外加  ,5276.0,0.05,264.0,5540.0,FAC_00010,202205.0,            ,GF ,,
XM4[電話]      ,2022-04-30 00:00:00,2022-04-30 00:00:00,CMFUG     ,外加  ,1700.0,0.05,85.0,1785.0,FAC_00019,202205.0,            ,GF ,,
ZP[電話]      ,2022-05-16 00:00:00,2022-05-16 00:00:00,JG        ,外加  ,1667.0,0.05,83.0,1750.0,FAC_00036,202205.0,            ,GF ,,
